Item,Category,Serving Size (g),Calories,Cal. From Fat,Total Fat (g),Sat. Fat (g),Trans Fat (g)*,Chol. (mg),Sodium (mg),Carbohydrate(g),Dietary Fiber (g),Sugars (g),Protein(g),Vitamin A % DV,Vitamin C % DV,Calcium % DV,Iron % DV
"6"" Black Forest Ham",Sandwich,219,290,40,4.5,1,0,25,800,46,5,8,18,8,20,30,15
"6"" Oven Roasted Chicken",Sandwich,233,320,45,5,1.5,0,45,610,46,5,8,23,8,30,30,15
"6"" Roast Beef",Sandwich,233,320,40,5,1.5,0,45,660,45,5,7,25,8,20,30,25
"6"" Rotisserie-Style Chicken",Sandwich,247,350,55,6,1.5,0,55,540,45,5,7,29,10,20,30,20
"6"" Subway Club®",Sandwich,240,310,40,4.5,1.5,0,40,840,46,5,8,23,8,20,30,20
"6"" Sweet Onion Chicken Teriyaki",Sandwich,269,370,40,4,1,0,50,770,58,5,16,25,10,25,35,20
"6"" Turkey Breast",Sandwich,219,280,30,3.5,1,0,20,760,46,5,7,18,8,20,30,15
"6"" Veggie Delite®",Sandwich,162,230,20,2.5,0.5,0,0,280,44,5,7,8,8,20,30,15
"6"" Chicken&  Bacon Ranch Melt",Sandwich,298,610,270,30,10,0.5,95,1290,47,5,8,38,15,25,50,20
"6"" Cold Cut Combo",Sandwich,226,360,110,12,3.5,0,45,1030,46,5,7,17,10,20,35,20
"6"" Italian B.M.T.®",Sandwich,226,410,150,16,6,0,45,1260,46,5,8,20,8,20,30,15
"6"" Meatball Marinara",Sandwich,301,480,160,18,7,0.5,40,1000,60,8,12,21,25,35,35,25
"6"" Spicy Italian",Sandwich,222,480,220,24,9,0.5,50,1490,46,5,8,20,8,20,30,20
"6"" Steak & Cheese",Sandwich,245,380,90,10,4.5,0,50,1030,49,5,9,26,10,20,40,20
"6"" Tuna",Sandwich,237,480,230,25,4.5,0,40,580,44,5,7,20,10,20,30,20
Kids Veggie Delite®,Sandwich,108,150,15,1.5,0,0,0,190,29,3,4,6,6,15,20,10
Kids Black Forest Ham,Sandwich,136,180,25,2.5,0.5,0,10,450,30,3,5,10,6,15,20,10
Kids Roast Beef,Sandwich,146,200,25,3,1,0,25,390,30,4,5,14,6,15,20,15
Kids Turkey Breast,Sandwich,136,180,20,2,0.5,0,10,430,30,3,5,10,6,15,20,10
"6"" Angus Steakhouse Melt",Sandwich,247,450,180,20,10,0.5,50,890,45,5,7,24,10,20,40,25
"6"" BBQ Pulled Pork",Sandwich,276,420,80,9,2,0,45,980,62,5,24,23,8,25,35,15
"6"" BBQ Rib",Sandwich,240,490,220,25,8,0,45,750,48,5,10,20,10,20,35,20
"6"" Big Cheesy",Sandwich,126,390,150,17,10,0.5,45,980,43,4,5,18,15,0,60,15
"6"" Big Philly Cheesesteak",Sandwich,297,500,150,17,9,1,85,1280,51,6,10,38,15,20,50,25
"6"" B.L.T.",Sandwich,165,380,120,13,4,0,20,1130,44,5,7,20,8,10,30,15
"6"" Buffalo Chicken (with regular Ranch dressing)",Sandwich,269,420,140,16,3,0,55,1100,46,6,8,25,15,25,35,20
"6"" Caesar Chicken Melt",Sandwich,268,490,200,22,6,0.5,75,800,46,5,7,29,15,25,45,20
"6"" Chicken Parmesan",Sandwich,247,330,40,5,1,0,45,890,45,5,8,25,10,20,30,20
"6"" Chicken Fingers",Sandwich,233,400,100,11,2,0,20,720,58,5,7,19,8,20,30,15
"6"" Chicken Parmesan",Sandwich,277,480,140,16,5,0.5,35,1000,63,6,10,24,20,25,45,15
"6"" Chicken Pizziola Melt",Sandwich,293,460,140,15,6,0.5,80,1140,50,6,10,32,20,30,45,20
"6"" Chicken Salad, (not Orchard)",Sandwich,247,370,90,10,2,0,45,660,51,6,12,19,10,20,35,20
"6"" Corned Beef Reuben",Sandwich,328,490,130,15,5,0.5,85,1720,52,7,13,39,10,35,45,25
"6"" Crunchy Chicken Enchilada",Sandwich,303,580,240,26,7,0.5,20,1120,60,7,10,26,15,30,45,25
"6"" Cubano",Sandwich,307,460,130,14,4.5,0,70,1430,48,5,9,32,15,20,40,15
"6"" Egg Salad",Sandwich,247,480,230,26,6,0,220,450,45,5,7,17,15,20,30,20
"6"" Falafel",Sandwich,276,580,220,24,4,0.5,10,1050,73,13,8,18,10,20,30,20
"6"" Malibu Garden Veggie Patty",Sandwich,247,380,90,10,2,0,0,780,64,9,8,13,30,35,35,20
"6"" Mediterranean Chicken",Sandwich,283,490,180,20,6,0,70,930,46,5,7,30,10,25,40,15
"6"" Mediterranean Steak",Sandwich,283,520,200,22,7,0.5,60,1270,49,5,9,29,10,20,35,25
"6"" Orchard Chicken Salad",Sandwich,247,370,70,8,1.5,0,40,530,54,6,15,20,10,20,30,20
"6"" Pastrami",Sandwich,230,420,150,17,7,0,50,980,46,5,8,20,10,30,40,20
"6"" Pastrami Melt, Big Hot",Sandwich,287,580,250,28,11,0,85,1470,47,5,8,29,10,45,40,25
"6"" Pizza Sub Melt",Sandwich,195,490,220,24,10,0.5,55,1640,49,5,9,20,15,15,45,15
"6"" Pulled Pork",Sandwich,246,410,110,13,5,0.5,40,1410,48,5,9,26,10,20,40,20
"6"" Subway Seafood SensationTM",Sandwich,233,420,170,19,3,0,15,780,51,5,8,13,10,20,35,15
